idn,title,auftraggeber-per-idn,auftraggeber-per-name,auftraggeber-inst-idn,auftraggeber-inst-name
1236173015,Briefbogen und Rechnungsvordruck für Rentsch AG,,,1112151923,Rentsch AG
1236173104,Probedruck von Titelblatt für Gebetbuch für das Pessachfest,,,1064062229,Goldschmidt Basel AG
1236173120,Ausschnitte von Schriftzug Fjord aus Schokoladenverpackungen,,,,"Chocolats Fjord, Genf"
1236173236,Korrekturfahnen für Abbildungen von Briefbogen für Lund Humphries & Co Ltd,,,1204142432,Reinhold Publishing Corporation
1236173287,Probedruck von Schutzumschlag für Towards a New Typography,,,997476427,Faber & Faber
1236173325,Klischeeabzug von Schriftzug für Schokoladenverpackung Fjordines Glacées,,,,"Chocolats Fjord, Genf"
1236173422,Montierte Entwürfe von Schriftzug für Schokoladenverpackung Fjordines Glacées,,,,"Chocolats Fjord, Genf"
1236173430,Entwurf und Klischeeabzug von Schriftzug für Schokoladenverpackung Fjordines Glacées,,,,"Chocolats Fjord, Genf"
1236173651,Blindband mit Entwurfsskizzen für Symposium on Duduid's Hypothesis,,,000028835,Schweizerische Akademie der Medizinischen Wissenschaften
1236173694,Korrekturfahne für Symposium on Duduid's Hypothesis,,,000028835,Schweizerische Akademie der Medizinischen Wissenschaften
1236173821,Einbanddecke für Treasury of Alphabets and Lettering,,,1204142432,Reinhold Publishing Corporation
123617397X,Montierte Druckfahne für Buchrücken und Titelschild von Treasury of Alphabets and Lettering,,,1204142432,Reinhold Publishing Corporation
1236173996,Entwurf für Buchrücken und Titelschild von Treasury of Alphabets and Lettering,,,1204142432,Reinhold Publishing Corporation
1236174216,"Korrigierter Schutzumschlag für Meisterbuch der Schrift, 2. Auflage",,,007247605,Otto-Maier-Verlag
1236174267,Korrekturfahnen einer Illustration für Asymmetric Typography,,,1204142432,Reinhold Publishing Corporation
123617433X,Entwurf von Briefbogen für Walter de Gruyter & Co,,,004832485,Walter de Gruyter & Co.
1236175026,Fotorepro und Zeitschriftenausschnitt von Plakat Casanova für Phoebus-Palast,,,1217666052,Phoebus-Palast
1236175026,Fotorepro und Zeitschriftenausschnitt von Plakat Casanova für Phoebus-Palast,,,004698304,F. Bruckmann
1236175212,Briefumschlag Musik-Akademie,,,007040725,Musik-Akademie Basel
1236175441,Programmheft Jahresfeier 1965 der Musik-Akademie Basel,,,007040725,Musik-Akademie Basel
123617562X,Korrekturfahnen für Program of the Symposium on the Chemotherapy of Cancer,,,000028835,Schweizerische Akademie der Medizinischen Wissenschaften
123617576X,Blindband mit Entwurfsskizzen für Program of the Symposium on the Chemotherapy of Cancer,,,000028835,Schweizerische Akademie der Medizinischen Wissenschaften
1236176197,Entwurf und Reprografie für einen Briefkopf für Verlagsgesellschaft Beobachter AG,,,108639710X,Verlagsgesellschaft Beobachter
1236176243,Briefbogen mit Briefkopf für Verlagsgesellschaft Beobachter AG,,,108639710X,Verlagsgesellschaft Beobachter
1236176308,Briefumschlag mit Briefkopf für Verlagsgesellschaft Beobachter AG,,,108639710X,Verlagsgesellschaft Beobachter
1236176405,Briefkopf für die Verlagsgesellschaft Beobachter AG,,,108639710X,Verlagsgesellschaft Beobachter
