idn,title,ts-idn,ts
123617061X,Druckfahnen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,946122350,Fahne
1236170628,Druckfahnen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,04123412X,Illustration
1236170628,Druckfahnen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,946122350,Fahne
1236170644,Entwurf von Rückenschild für Die Übermacht,1153904039,Titelschild
1236170644,Entwurf von Rückenschild für Die Übermacht,041212088,Entwurf
1236170660,Entwurfsskizzen Guy de Maupassant und Firmenzeichen,041249798,Firmenzeichen
1236170660,Entwurfsskizzen Guy de Maupassant und Firmenzeichen,041212088,Entwurf
1236170660,Entwurfsskizzen Guy de Maupassant und Firmenzeichen,041816684,Skizze
1236170679,Probedruck von Firmenzeichen ZBH,041249798,Firmenzeichen
1236170679,Probedruck von Firmenzeichen ZBH,943626668,Probedruck
1236170695,Probedrucke von Firmenzeichen ZBH,041249798,Firmenzeichen
1236170695,Probedrucke von Firmenzeichen ZBH,943626668,Probedruck
1236170709,Probedruck für Rückenschild und Titelschild von Chinesische Märchen,1153904039,Titelschild
1236170709,Probedruck für Rückenschild und Titelschild von Chinesische Märchen,943626668,Probedruck
1236170725,Schriftkunst,040292908,Kalender
1236170725,Schriftkunst,950003484,Bildkalender
1236170733,"Ein wahrer Erstdruck eines mehrfarbigen Holztafeldruckes aus der Bildersammlung der Zehnbambushalle, Nanking 1627",040131343,Druckwerk
1236170741,Korrekturfahne von Briefbogen für Graphia Hans Gundlach GmbH Bielefeld,042757517,Briefbogen
1236170741,Korrekturfahne von Briefbogen für Graphia Hans Gundlach GmbH Bielefeld,042275423,Briefkopf
1236170741,Korrekturfahne von Briefbogen für Graphia Hans Gundlach GmbH Bielefeld,946122350,Fahne
1236170741,Korrekturfahne von Briefbogen für Graphia Hans Gundlach GmbH Bielefeld,042053587,Korrektur
123617075X,Lieferschein der Druckklischees für die Illustrationen von Der chinesische Stempel in Briefumschlag,041271378,Formular
1236170784,"Neujahrswunsch Bucherer, Kurrus & Co. Papiere en gros, Basel, bringen Ihnen ihre besten Glückwünsche zum neuen Jahre dar",041577000,Glückwunschkarte
1236170784,"Neujahrswunsch Bucherer, Kurrus & Co. Papiere en gros, Basel, bringen Ihnen ihre besten Glückwünsche zum neuen Jahre dar",041715640,Neujahrswunsch
1236170806,Klebeentwürfe von Illustrationen für Der chinesische Stempel,04123412X,Illustration
1236170806,Klebeentwürfe von Illustrationen für Der chinesische Stempel,041212088,Entwurf
1236170814,Probedrucke von Reproduktionen gestalterischer Arbeiten als Illustrationen,04123412X,Illustration
1236170814,Probedrucke von Reproduktionen gestalterischer Arbeiten als Illustrationen,943626668,Probedruck
1236170822,Schriftbildträger für den Lichtsatz mit Titelseite von konstruktivisten,041675975,Lichtsatz
1236170822,Schriftbildträger für den Lichtsatz mit Titelseite von konstruktivisten,941946932,Schablone
1236170830,Verkleinerte Reproduktionen von Ausstellungsplakat konstruktivisten,04123412X,Illustration
1236170830,Verkleinerte Reproduktionen von Ausstellungsplakat konstruktivisten,041157494,Reproduktion
1236170830,Verkleinerte Reproduktionen von Ausstellungsplakat konstruktivisten,042053587,Korrektur
1236170857,Korrigierte Satzvorlage für Illustration mit Abbildung von Ausstellungsplakat und Ausstellungskatalog konstruktivisten,04123412X,Illustration
1236170857,Korrigierte Satzvorlage für Illustration mit Abbildung von Ausstellungsplakat und Ausstellungskatalog konstruktivisten,040770338,Satz
1236170857,Korrigierte Satzvorlage für Illustration mit Abbildung von Ausstellungsplakat und Ausstellungskatalog konstruktivisten,041886828,Vorlage
1236170873,Entwurf für den Neujahrswunsch 1973,041715640,Neujahrswunsch
1236170873,Entwurf für den Neujahrswunsch 1973,041816684,Skizze
1236170873,Entwurf für den Neujahrswunsch 1973,041212088,Entwurf
1236170903,Druckklischees für die Illustrationen von Der chinesische Stempel,941715787,Klischee
1236170903,Druckklischees für die Illustrationen von Der chinesische Stempel,043282350,Druckstock
1236170903,Druckklischees für die Illustrationen von Der chinesische Stempel,04123412X,Illustration
123617092X,Briefumschlag mit Druckklischees für die Illustrationen von Der chinesische Stempel in Briefumschlag,941715787,Klischee
123617092X,Briefumschlag mit Druckklischees für die Illustrationen von Der chinesische Stempel in Briefumschlag,043282350,Druckstock
123617092X,Briefumschlag mit Druckklischees für die Illustrationen von Der chinesische Stempel in Briefumschlag,041466144,Briefumschlag
1236170946,Adressetikett mit Firmenzeichen für Georg-Rentsch-Söhne,041249798,Firmenzeichen
