idn,title,ort-idn,ort-name
1236291573,Entwurf für eine Illustration mit Abbildungen von Infografiken,041277937,München
1236291689,Rechnungsvordruck für Verlag Der Bücherkreis GmbH,040057283,Berlin
1236291727,Briefbogen für Verlag Der Bücherkreis GmbH,040057283,Berlin
1236291808,Probedruck von Postkarte für Deutsche Verlagsgesellschaft für Politik und Geschichte M.B.H.,040057283,Berlin
1236291840,Mitgliedskarte für Der Bücherkreis GmbH,040057283,Berlin
1236291905,Klischeeabzug von Verlegermarke für Bücherkreis,041277937,München
1236291948,Saskia,040352064,Leipzig
1236291999,Schriftproben der Zeus,040129950,Dresden
1236292073,Zeus - Die fette Antiqua für sachliche Satzgestaltung,040129950,Dresden
1236292111,Schriftproben der Saskia,040352064,Leipzig
1236292170,Entwurfsskizzen für Typografische Entwurfstechnik,041277937,München
1236292243,"Entwurf für das Titelblatt von Die Kunst - Malerei, Plastik, Wohnungskunst",041277937,München
1236292316,Mappe mit Akzidenzen gestaltet mit Saskia,040352064,Leipzig
1236292375,Probedruck für den Schutzumschlag von Der neue Mensch,040352064,Leipzig
1236292499,Entwurf für den Bucheinband von Die gefiederte Schlange,041277937,München
1236292537,Verkleinerte Reproduktionen des Plakates Festivals of the Bavarian State Theatres Munich als Illustration,041277937,München
1236292596,Briefbogen für Verlag Der Bücherkreis GmbH,040057283,Berlin
1236292677,"Montierter und korrigierter Probedruck für den Umschlag von Typografische Mitteilungen, 29. Jahrgang, Heft 1",041277937,München
1236292782,Klischeeabzüge des Plakates Festivals of the Bavarian State Theatres Munich,041277937,München
123629288X,Probedruck von Werbeanzeige Drittel der Menschheit,040057283,Berlin
1236292979,Entwurf und Probedruck von Werbeanzeige Das geduldige Albion,041277937,München
1236293088,Entwurf und Probedruck von Werbeanzeige Jan Hus - Der letzte Tag,041277937,München
1236293193,Klischee und Probedrucke von Verlegermarke für Bücherkreis,041277937,München
1236293347,Karteikarte für Der Bücherkreis GmbH,040057283,Berlin
123629341X,Mitgliedskarte für Der Bücherkreis GmbH,040057283,Berlin
1236293517,Entwurf für den Buchrücken von der Zauberer von Homburg und Monte Carlo,041277937,München
1236293614,Plakat Was wißt Ihr von der Deutschen Not-Gemeinschaft?,041277937,München
123629369X,Deutsches Museum Vortragsprogramm Juni 1932,041277937,München
1236293797,Probedruck für den Bucheinband von ASEW,040057283,Berlin
1236293819,"Teil einer Einbanddecke für Der Bau-, Kunst- und Konstruktionsschlosser",040582825,Stuttgart
1236293843,Probedrucke von Schriftproben für Schablonenschrift für die Stempel AG,040181189,Frankfurt am Main
1236293894,Werbeprospekt der Transito,040017834,Amsterdam
1236293967,Probedruck einer Illustration mit Darstellung Einladungskarte für Ausstellung Internationale Verkehrswerbung,,
1236294076,Probedrucke und Korrekturfahne von Bucheinband für Die Rebellion des Ingenieurs Karinsky,040057283,Berlin
1236294165,"Einbanddecke für David Octavius Hill, der Meister der Photographie",040352064,Leipzig
1236294238,Deutsche Meisterschule für Mode,041277937,München
1236294300,"Probedruck von Umschlag für Das Werk - Architektur, Freie Kunst, Angewandte Kunst",04068038X,Zürich
1236294432,Versandliste zur Schrift Transito,041277937,München
1236294548,Layoutentwurf für Illustration einer unbekannten Publikation,041277937,München
1236294645,Probedruck von Programmheft Studienreise Amerikanischer Pädagogen Ortsprogramm München,041277937,München
1236294696,Mitgliedskarte für Deutscher Werkbund und Einladung zur Ausstellungseröffnung Plakate der Avantgarde,040057283,Berlin
1236295005,Probedruck für die Einbandecke von Laubenkolonie Erdenglück,040057283,Berlin
1236295277,Einbanddecke für Hausierer,040057283,Berlin
1236295404,Korrekturfahne von Einladungskarte für Ausstellung Internationale Verkehrswerbung,041277937,München
1236295528,Probedruck mit Abbildungen von Tschicholds Arbeiten für den Bücherkreis,040057283,Berlin
123629565X,"Korrigierter Probedruck von Briefbogen für Jan Tschichold, Voitstrasse 8/1",040046176,Basel
1236295749,Versandliste Besprechungsexemplar von Typografische Entwurfstechnik,041277937,München
1236295862,Probedruck einer Antiqua für Schriftschreiben für Setzer,041277937,München
1236295951,Probedruck einer Fournier Monotypie für Schriftschreiben für Setzer,041277937,München
123629601X,Fotografie für den Umschlagentwurf von Kleine Schreiblehre für Setzer,041277937,München
1236296117,Fotografie für den Umschlagentwurf von Kleine Schreiblehre für Setzer,041277937,München
